"index","name","1990","1995","2000","2005","2010","2015","2020"
"255","USA","23251026","28451053","34814053","39258293","44183643","48178877","50632836"
"190","Germany","5936181","7464406","8992631","9402447","9812263","10220418","15762457"
"137","Saudi Arabia","4998445","5122702","5263387","6501819","8429956","10771366","13454842"
"152","Russia","11524948","11928927","11900297","11667588","11194710","11643276","11636911"
"168","UK","3650286","4155293","4730165","5926156","7119664","8406996","9359587"
"141","UAE","1306574","1824118","2447010","3281115","7316697","7995126","8716332"
"189","France","5897267","6087993","6278718","6737600","7309986","7878338","8524876"
"252","Canada","4333318","4864778","5511914","6078985","6761226","7428657","8049323"
"258","Australia","3955213","4153330","4386250","4878030","5882980","6729730","7685860"
"185","Spain","821605","1020067","1657285","4107226","6280062","5891208","6842202"
