index,name,b1990,b1995,b2000,b2005,b2010,b2015,b2020,m1990,m1995,m2000,m2005,m2010,m2015,m2020,f1990,f1995,f2000,f2005,f2010,f2015,f2020,nickname
255,United States of America,23251026,28451053,34814053,39258293,44183643,48178877,50632836,11372985,14032159,17310785,19614878,21694169,23446873,24478996,11878041,14418894,17503268,19643415,22489474,24732004,26153840,USA
190,Germany,5936181,7464406,8992631,9402447,9812263,10220418,15762457,3293128,3898397,4503666,4676178,4848689,5037961,7891635,2643053,3566009,4488965,4726269,4963574,5182457,7870822,Germany
137,Saudi Arabia,4998445,5122702,5263387,6501819,8429956,10771366,13454842,3324873,3416485,3517768,4469805,5933281,7461502,9235130,1673572,1706217,1745619,2032014,2496675,3309864,4219712,Saudi Arabia
152,Russian Federation,11524948,11928927,11900297,11667588,11194710,11643276,11636911,5655422,5925452,5982851,5806597,5514401,5715211,5712089,5869526,6003475,5917446,5860991,5680309,5928065,5924822,Russia
168,United Kingdom,3650286,4155293,4730165,5926156,7119664,8406996,9359587,1756448,1978711,2228628,2818177,3454456,4021255,4464423,1893838,2176582,2501537,3107979,3665208,4385741,4895164,UK
141,United Arab Emirates,1306574,1824118,2447010,3281115,7316697,7995126,8716332,931959,1309868,1757200,2388299,5463446,5890170,6419792,374615,514250,689810,892816,1853251,2104956,2296540,UAE
189,France,5897267,6087993,6278718,6737600,7309986,7878338,8524876,2999376,3046083,3092789,3300859,3554527,3808573,4130737,2897891,3041910,3185929,3436741,3755459,4069765,4394139,France
252,Canada,4333318,4864778,5511914,6078985,6761226,7428657,8049323,2109652,2356105,2659135,2915838,3236539,3533164,3828361,2223666,2508673,2852779,3163147,3524687,3895493,4220962,Canada
258,Australia,3955213,4153330,4386250,4878030,5882980,6729730,7685860,2013196,2093280,2189900,2419190,2922030,3343330,3812187,1942017,2060050,2196350,2458840,2960950,3386400,3873673,Australia
185,Spain,821605,1020067,1657285,4107226,6280062,5891208,6842202,390448,499114,838058,2140680,3238234,2884000,3272773,431157,520953,819227,1966546,3041828,3007208,3569429,Spain
