"index","name","1990","1995","2000","2005","2010","2015","2020"
"118","India","6619431","7153439","7928051","9588533","13221963","15885657","17869492"
"232","Mexico","4395355","6949276","9562878","10817810","12415222","11923234","11185737"
"94","China*","4231625","5030321","5884919","7337211","8714648","10240817","10461170"
"139","Syrian Arab Republic","620285","661278","707070","813361","1057322","6447843","8457214"
"116","Bangladesh","5450443","5423528","5441094","5492474","6319871","6831282","7401763"
"122","Pakistan","3341086","3340157","3406434","3777830","4790584","5798210","6328400"
"109","Philippines","2012499","2481963","3062665","3684528","4692695","5498232","6094307"
"115","Afghanistan","7679582","4347049","4750677","4116739","5269518","5400916","5853838"
"249","Venezuela (Bolivarian Republic of)","185492","241864","317753","437087","560528","709140","5415337"
"168","United Kingdom*","3789316","3708650","3860006","4145206","4432928","4379366","4732510"
