name,1990,1995,2000,2005,2010,2015,2020,m1990,m1995,m2000,m2005,m2010,m2015,m2020
USA,249623000,266278000,282162411,295516599,309327143,320738994,331501080,23251026,28451053,34814053,39258293,44183643,48178877,50632836
Germany,79433029,81678051,82211508,82469422,81776930,81686611,83160871,5936181,7464406,8992631,9402447,9812263,10220418,15762457
Saudi Arabia,16004763,18888857,21547390,24397644,29411929,32749848,35997107,4998445,5122702,5263387,6501819,8429956,10771366,13454842
Russia,147969407,148375787,146596869,143518814,142849468,144096870,144073139,11524948,11928927,11900297,11667588,11194710,11643276,11636911
UK,57247586,58019030,58892514,60401206,62766365,65116219,67081000,3650286,4155293,4730165,5926156,7119664,8406996,9359587
UAE,1900151,2433988,3275333,4280993,8481771,8916899,9287289,1306574,1824118,2447010,3281115,7316697,7995126,8716332
France,58044701,59543659,60921384,63188395,65030575,66548272,67571107,5897267,6087993,6278718,6737600,7309986,7878338,8524876
Canada,27691138,29302311,30685730,32243753,34004889,35702908,38037204,4333318,4864778,5511914,6078985,6761226,7428657,8049323
Australia,17065128,18004882,19028802,20176844,22031750,23815995,25655289,3955213,4153330,4386250,4878030,5882980,6729730,7685860
Spain,38867322,39724050,40567864,43653155,46576897,46444832,47365655,821605,1020067,1657285,4107226,6280062,5891208,6842202
